Entity,Code,Year,Total food expenditure,Total consumer expenditure,World regions according to OWID
Afghanistan,AFG,2023,,,Asia
Aland Islands,ALA,2023,,,Europe
Albania,ALB,2023,,,Europe
Algeria,DZA,2018,645.6,1732.2,
Algeria,DZA,2019,556.0795,1606.7206,
Algeria,DZA,2020,520.0589,1497.2292,
Algeria,DZA,2021,614.0008,1648.0647,
Algeria,DZA,2022,642.11694,1729.3489,
Algeria,DZA,2023,,,Africa
American Samoa,ASM,2023,,,Oceania
Andorra,AND,2023,,,Europe
Angola,AGO,2018,893.6,1838.3,
Angola,AGO,2019,451.0519,996.2011,
Angola,AGO,2020,513.12964,1116.6483,
Angola,AGO,2021,657.6129,1322.1558,
Angola,AGO,2022,691.91376,1393.8661,
Angola,AGO,2023,,,Africa
Anguilla,AIA,2023,,,North America
Antigua and Barbuda,ATG,2023,,,North America
Argentina,ARG,2018,2139.8,7566,
Argentina,ARG,2019,859.241,4295.7856,
Argentina,ARG,2020,1090.9214,5318.52,
Argentina,ARG,2021,1494.6925,6443.1685,
Argentina,ARG,2022,2070.0664,8953.552,
Argentina,ARG,2023,,,South America
Armenia,ARM,2023,,,Asia
Aruba,ABW,2023,,,North America
Australia,AUS,2018,3003.6,32390,
Australia,AUS,2019,2546.8447,30309.615,
Australia,AUS,2020,2722.4756,28348.242,
Australia,AUS,2021,3239.4424,32475.715,
Australia,AUS,2022,3507.6057,33566.805,
Australia,AUS,2023,,,Oceania
Austria,AUT,2018,2618.2,26656.1,
Austria,AUT,2019,2291.102,26436.785,
Austria,AUT,2020,2085.374,24142.15,
Austria,AUT,2021,2987.647,26409.473,
Austria,AUT,2022,2766.8171,25605.43,
Austria,AUT,2023,,,Europe
Austria-Hungary,OWID_AUH,2023,,,Europe
Azerbaijan,AZE,2018,989.6,2561.7,
Azerbaijan,AZE,2019,1093.2401,2794.9707,
Azerbaijan,AZE,2020,1055.4464,2582.7498,
Azerbaijan,AZE,2021,1223.5452,2809.143,
Azerbaijan,AZE,2022,1411.4885,3325.5288,
Azerbaijan,AZE,2023,,,Asia
Bahamas,BHS,2023,,,North America
Bahrain,BHR,2018,1674.1,12639.7,
Bahrain,BHR,2019,1230.5845,10038.752,
Bahrain,BHR,2020,1140.0425,9339.968,
Bahrain,BHR,2021,1239.1884,9485.243,
Bahrain,BHR,2022,1158.1042,8899.947,
Bahrain,BHR,2023,,,Asia
Bangladesh,BGD,2018,611.9,1143.3,
Bangladesh,BGD,2019,649.29535,1236.752,
Bangladesh,BGD,2020,723.7309,1360.0371,
Bangladesh,BGD,2021,791.20123,1499.9324,
Bangladesh,BGD,2022,923.5035,1752.0276,
Bangladesh,BGD,2023,,,Asia
Barbados,BRB,2023,,,North America
Belarus,BLR,2018,1090.4,3371.5,
Belarus,BLR,2019,923.08716,3096.3699,
Belarus,BLR,2020,1014.7107,3228.76,
Belarus,BLR,2021,1179.2625,3671.2693,
Belarus,BLR,2022,1320.4661,4166.1714,
Belarus,BLR,2023,,,Europe
Belgium,BEL,2018,3034.7,22605.9,
Belgium,BEL,2019,2694.3694,23210.56,
Belgium,BEL,2020,2454.2979,21187.355,
Belgium,BEL,2021,3260.3809,24189.252,
Belgium,BEL,2022,3227.8252,23964.123,
Belgium,BEL,2023,,,Europe
Belize,BLZ,2023,,,North America
Benin,BEN,2023,,,Africa
Bermuda,BMU,2023,,,North America
Bhutan,BTN,2023,,,Asia
Bolivia,BOL,2018,696.3,2389.6,
Bolivia,BOL,2019,649.1287,2421.5112,
Bolivia,BOL,2020,602.91113,2232.8782,
Bolivia,BOL,2021,659.9653,2261.037,
Bolivia,BOL,2022,714.5037,2465.488,
Bolivia,BOL,2023,,,South America
Bonaire Sint Eustatius and Saba,BES,2023,,,North America
Bosnia and Herzegovina,BIH,2018,1403.8,4576.8,
Bosnia and Herzegovina,BIH,2019,1227.2747,4614.92,
Bosnia and Herzegovina,BIH,2020,1205.5502,4578.6377,
Bosnia and Herzegovina,BIH,2021,1421.5299,4734.8525,
Bosnia and Herzegovina,BIH,2022,1471.8893,5036.72,
Bosnia and Herzegovina,BIH,2023,,,Europe
Botswana,BWA,2023,,,Africa
Brazil,BRA,2018,866.3,5514.5,
Brazil,BRA,2019,599.6366,4242.923,
Brazil,BRA,2020,655.79486,4154.099,
Brazil,BRA,2021,722.0721,4442.8306,
Brazil,BRA,2022,882.3187,5433.0312,
Brazil,BRA,2023,,,South America
British Indian Ocean Territory,IOT,2023,,,Asia
British Virgin Islands,VGB,2023,,,North America
Brunei,BRN,2023,,,Asia
Bulgaria,BGR,2018,1172.1,6069.8,
Bulgaria,BGR,2019,1038.902,6172.471,
Bulgaria,BGR,2020,1123.2827,6263.7417,
Bulgaria,BGR,2021,1338.8458,6924.803,
Bulgaria,BGR,2022,1551.6959,8117.5044,
Bulgaria,BGR,2023,,,Europe
Burkina Faso,BFA,2023,,,Africa
Burundi,BDI,2023,,,Africa
Cambodia,KHM,2018,500.2,1181.6,
Cambodia,KHM,2019,495.7677,1316.1677,
Cambodia,KHM,2020,457.17178,1181.6078,
Cambodia,KHM,2021,546.4503,1279.3658,
Cambodia,KHM,2022,576.717,1391.7091,
Cambodia,KHM,2023,,,Asia
Cameroon,CMR,2018,501.3,1105.6,
Cameroon,CMR,2019,469.00677,1071.0068,
Cameroon,CMR,2020,456.21967,1043.429,
Cameroon,CMR,2021,540.9608,1196.5359,
Cameroon,CMR,2022,513.89526,1137.5056,
Cameroon,CMR,2023,,,Africa
Canada,CAN,2018,2350.9,25961.2,
Canada,CAN,2019,2098.342,25573.51,
Canada,CAN,2020,2294.0552,24127.32,
Canada,CAN,2021,2766.5105,27704.783,
Canada,CAN,2022,2781.1907,29207.674,
Canada,CAN,2023,,,North America
Cape Verde,CPV,2023,,,Africa
Cayman Islands,CYM,2023,,,North America
Central African Republic,CAF,2023,,,Africa
Chad,TCD,2023,,,Africa
Chile,CHL,2018,1613.5,10072.7,
Chile,CHL,2019,1275.6061,8185.616,
Chile,CHL,2020,1230.2683,7740.0596,
Chile,CHL,2021,1806.7124,9763.548,
Chile,CHL,2022,1740.5986,9692.31,
Chile,CHL,2023,,,South America
China,CHN,2018,814.5,3779.4,
China,CHN,2019,743.21545,3958.0322,
China,CHN,2020,882.5526,4166.721,
China,CHN,2021,933.8022,4680.1055,
China,CHN,2022,965.64905,4804.6606,
China,CHN,2023,,,Asia
Christmas Island,CXR,2023,,,Asia
Cocos Islands,CCK,2023,,,Asia
Colombia,COL,2018,869.2,4523.4,
Colombia,COL,2019,561.54987,3859.8394,
Colombia,COL,2020,555.18396,3680.4521,
Colombia,COL,2021,806.6916,4337.639,
Colombia,COL,2022,873.9669,4712.4336,
Colombia,COL,2023,,,South America
Comoros,COM,2023,,,Africa
Congo,COG,2023,,,Africa
Cook Islands,COK,2023,,,Oceania
Costa Rica,CRI,2018,2143,8332.2,
Costa Rica,CRI,2019,2220.0195,8356.632,
Costa Rica,CRI,2020,2211.117,7933.796,
Costa Rica,CRI,2021,2656.4326,8411.837,
Costa Rica,CRI,2022,2793.5496,8995.343,
Costa Rica,CRI,2023,,,North America
Cote d'Ivoire,CIV,2018,452.9,1142.3,
Cote d'Ivoire,CIV,2019,598.85657,1612.1804,
Cote d'Ivoire,CIV,2020,592.9711,1613.129,
Cote d'Ivoire,CIV,2021,673.4896,1747.9529,
Cote d'Ivoire,CIV,2022,613.992,1608.9664,
Cote d'Ivoire,CIV,2023,,,Africa
Croatia,HRV,2018,2564.7,11126.9,
Croatia,HRV,2019,1699.2692,10890.731,
Croatia,HRV,2020,1762.2521,8881.622,
Croatia,HRV,2021,2256.284,11530.0625,
Croatia,HRV,2022,2703.8542,14029.234,
Croatia,HRV,2023,,,Europe
Cuba,CUB,2023,,,North America
Curacao,CUW,2023,,,North America
Cyprus,CYP,2023,,,Europe
Czechia,CZE,2018,1835.8,11230.1,
Czechia,CZE,2019,1568.2462,11163.262,
Czechia,CZE,2020,1630.1895,10822.646,
Czechia,CZE,2021,1947.2992,12067.872,
Czechia,CZE,2022,2105.4744,12872.07,
Czechia,CZE,2023,,,Europe
Czechoslovakia,OWID_CZS,2023,,,Europe
Democratic Republic of Congo,COD,2023,,,Africa
Democratic Republic of Vietnam,,2023,,,Asia
Denmark,DNK,2018,3220,28066.1,
Denmark,DNK,2019,2806.4456,27937.875,
Denmark,DNK,2020,3019.4075,27328.982,
Denmark,DNK,2021,3727.229,30251.883,
Denmark,DNK,2022,3337.9702,28536.504,
Denmark,DNK,2023,,,Europe
Djibouti,DJI,2023,,,Africa
Dominica,DMA,2023,,,North America
Dominican Republic,DOM,2018,1508.7,5623.4,
Dominican Republic,DOM,2019,1416.301,5632.1724,
Dominican Republic,DOM,2020,1438.4884,5594.3916,
Dominican Republic,DOM,2021,1674.0455,6247.196,
Dominican Republic,DOM,2022,1970.4341,7421.0425,
Dominican Republic,DOM,2023,,,North America
Duchy of Modena and Reggio,,2023,,,Europe
Duchy of Parma and Piacenza,,2023,,,Europe
East Germany,OWID_GDR,2023,,,Europe
East Timor,TLS,2023,,,Asia
Ecuador,ECU,2018,1015.6,3874.3,
Ecuador,ECU,2019,889.7669,3824.7068,
Ecuador,ECU,2020,814.7874,3502.6465,
Ecuador,ECU,2021,984.15454,3740.6025,
Ecuador,ECU,2022,1075.6704,4079.9897,
Ecuador,ECU,2023,,,South America
Egypt,EGY,2018,684.9,2059.4,
Egypt,EGY,2019,1025.6014,2951.054,
Egypt,EGY,2020,1239.9948,3247.8376,
Egypt,EGY,2021,1369.1368,3642.3933,
Egypt,EGY,2022,1244.1223,3354.3552,
Egypt,EGY,2023,,,Africa
El Salvador,SLV,2018,922.2,3474.5,
El Salvador,SLV,2019,839.15955,3577.2437,
El Salvador,SLV,2020,742.20654,3165.5823,
El Salvador,SLV,2021,1034.8896,3902.6797,
El Salvador,SLV,2022,1207.5626,4555.978,
El Salvador,SLV,2023,,,North America
Equatorial Guinea,GNQ,2023,,,Africa
Eritrea,ERI,2023,,,Africa
Estonia,EST,2018,2317.7,11434.8,
Estonia,EST,2019,2075.1401,11703.729,
Estonia,EST,2020,2199.5994,11076.379,
Estonia,EST,2021,2621.3987,12992.181,
Estonia,EST,2022,2610.4146,13990.539,
Estonia,EST,2023,,,Europe
Eswatini,SWZ,2023,,,Africa
Ethiopia,ETH,2018,257.4,454.6,
Ethiopia,ETH,2019,174.16106,470.64874,
Ethiopia,ETH,2020,233.75694,578.7519,
Ethiopia,ETH,2021,244.73125,592.4403,
Ethiopia,ETH,2022,275.3257,694.29626,
Ethiopia,ETH,2023,,,Africa
Ethiopia (former),OWID_ERE,2023,,,Africa
Falkland Islands,FLK,2023,,,South America
Faroe Islands,FRO,2023,,,Europe
Federal Republic of Central America,,2023,,,North America
Fiji,FJI,2023,,,Oceania
Finland,FIN,2018,2908.7,25263.9,
Finland,FIN,2019,2563.4158,24826.383,
Finland,FIN,2020,2809.4917,23697.555,
Finland,FIN,2021,3137.7615,26194.64,
Finland,FIN,2022,2993.8958,25083.775,
Finland,FIN,2023,,,Europe
France,FRA,2018,2983.4,22585.8,
France,FRA,2019,2658.6528,22282.934,
France,FRA,2020,2846.2764,20825.95,
France,FRA,2021,3234.394,22995.982,
France,FRA,2022,2966.0623,21875.668,
France,FRA,2023,,,Europe
French Guiana,GUF,2023,,,South America
French Polynesia,PYF,2023,,,Oceania
Gabon,GAB,2023,,,Africa
Gambia,GMB,2023,,,Africa
Georgia,GEO,2018,922.5,2856.6,
Georgia,GEO,2019,1001.7222,3223.3113,
Georgia,GEO,2020,1138.663,3620.5708,
Georgia,GEO,2021,1388.4469,4300.2734,
Georgia,GEO,2022,1834.9602,5710.3506,
Georgia,GEO,2023,,,Asia
Germany,DEU,2018,2562.9,23917.6,
Germany,DEU,2019,2267.84,23618.037,
Germany,DEU,2020,2317.7488,22318.572,
Germany,DEU,2021,2897.0408,24188.703,
Germany,DEU,2022,2814.9365,23922.219,
Germany,DEU,2023,,,Europe
Ghana,GHA,2018,627,1516.8,
Ghana,GHA,2019,505.2183,1417.948,
Ghana,GHA,2020,566.20483,1468.2762,
Ghana,GHA,2021,648.25385,1651.698,
Ghana,GHA,2022,652.39056,1704.1095,
Ghana,GHA,2023,,,Africa
Gibraltar,GIB,2023,,,Europe
Grand Duchy of Baden,,2023,,,Europe
Grand Duchy of Tuscany,,2023,,,Europe
Great Colombia,,2023,,,South America
Greece,GRC,2018,2510.6,14701.4,
Greece,GRC,2019,2111.1052,14831.527,
Greece,GRC,2020,2325.7402,13926.818,
Greece,GRC,2021,2489.9873,14117.1875,
Greece,GRC,2022,2854.2793,15187.9795,
Greece,GRC,2023,,,Europe
Greenland,GRL,2023,,,North America
Grenada,GRD,2023,,,North America
Guadeloupe,GLP,2023,,,North America
Guam,GUM,2023,,,Oceania
Guatemala,GTM,2018,1662.5,4033.4,
Guatemala,GTM,2019,1386.8254,3876.0696,
Guatemala,GTM,2020,1365.0137,3798.14,
Guatemala,GTM,2021,1484.9662,4291.291,
Guatemala,GTM,2022,1636.1183,4753.419,
Guatemala,GTM,2023,,,North America
Guernsey,GGY,2023,,,Europe
Guinea,GIN,2023,,,Africa
Guinea-Bissau,GNB,2023,,,Africa
Guyana,GUY,2023,,,South America
Haiti,HTI,2023,,,North America
Honduras,HND,2018,645.9,1968.5,
Honduras,HND,2019,507.02377,2019.6182,
Honduras,HND,2020,477.0356,1876.2595,
Honduras,HND,2021,712.1019,2229.999,
Honduras,HND,2022,839.59174,2659.4236,
Honduras,HND,2023,,,North America
Hong Kong,HKG,2018,5002.2,34036.8,
Hong Kong,HKG,2019,4318.8677,34458.562,
Hong Kong,HKG,2020,4181.5166,31245.65,
Hong Kong,HKG,2021,3671.5447,30453.373,
Hong Kong,HKG,2022,3581.0051,30558.518,
Hong Kong,HKG,2023,,,Asia
Hungary,HUN,2018,1449.4,7964.7,
Hungary,HUN,2019,1170.9205,7928.434,
Hungary,HUN,2020,1282.0813,7980.1626,
Hungary,HUN,2021,1596.8452,8886.792,
Hungary,HUN,2022,1614.3783,9191.589,
Hungary,HUN,2023,,,Europe
Iceland,ISL,2023,,,Europe
India,IND,2018,372.2,1250.1,
India,IND,2019,337.50467,1257.9259,
India,IND,2020,325.86438,1183.9218,
India,IND,2021,446.47217,1391.5947,
India,IND,2022,496.70456,1552.9424,
India,IND,2023,,,Asia
Indonesia,IDN,2018,696.5,2193.9,
Indonesia,IDN,2019,700.92926,2298.2249,
Indonesia,IDN,2020,693.1733,2252.6611,
Indonesia,IDN,2021,799.22504,2360.8198,
Indonesia,IDN,2022,833.6685,2474.5386,
Indonesia,IDN,2023,,,Asia
Iran,IRN,2018,657.9,2356.9,
Iran,IRN,2019,846.14075,3440.882,
Iran,IRN,2020,1109.2701,4337.3535,
Iran,IRN,2021,2188.1125,7624.2344,
Iran,IRN,2022,435.07263,1529.9603,
Iran,IRN,2023,,,Asia
Iraq,IRQ,2018,739.5,2452.9,
Iraq,IRQ,2019,806.43164,2901.157,
Iraq,IRQ,2020,759.7717,2569.7483,
Iraq,IRQ,2021,578.2825,1951.4076,
Iraq,IRQ,2022,794.66296,2757.3945,
Iraq,IRQ,2023,,,Asia
Ireland,IRL,2018,2098.7,23266.7,
Ireland,IRL,2019,1778.8379,23314.281,
Ireland,IRL,2020,1919.0405,20979.514,
Ireland,IRL,2021,2147.791,23240.537,
Ireland,IRL,2022,1917.4574,23385.889,
Ireland,IRL,2023,,,Europe
Isle of Man,IMN,2023,,,Europe
Israel,ISR,2018,3611.8,22321,
Israel,ISR,2019,3373.9187,23932.207,
Israel,ISR,2020,3008.407,21192.818,
Israel,ISR,2021,3996.6045,25044.266,
Israel,ISR,2022,4245.512,26542.771,
Israel,ISR,2023,,,Asia
Italy,ITA,2018,2986.9,21032.1,
Italy,ITA,2019,2710.3584,20714.793,
Italy,ITA,2020,2820.4473,18581.1,
Italy,ITA,2021,3168.3293,20439.045,
Italy,ITA,2022,3005.1377,20521.375,
Italy,ITA,2023,,,Europe
Jamaica,JAM,2023,,,North America
Japan,JPN,2018,3417.5,21412,
Japan,JPN,2019,3116.2434,22283.783,
Japan,JPN,2020,3038.4639,21080.941,
Japan,JPN,2021,3458.9053,20723.898,
Japan,JPN,2022,2992.0938,18404.062,
Japan,JPN,2023,,,Asia
Jersey,JEY,2023,,,Europe
Jordan,JOR,2018,1091.1,3687.9,
Jordan,JOR,2019,790.9116,3374.208,
Jordan,JOR,2020,783.2335,3246.9167,
Jordan,JOR,2021,926.48926,3513.235,
Jordan,JOR,2022,893.29834,3421.588,
Jordan,JOR,2023,,,Asia
Kazakhstan,KAZ,2018,2144.3,4780.4,
Kazakhstan,KAZ,2019,2102.3142,4666.154,
Kazakhstan,KAZ,2020,2217.4338,4766.008,
Kazakhstan,KAZ,2021,2554.1501,5168.118,
Kazakhstan,KAZ,2022,2785.167,5673.7305,
Kazakhstan,KAZ,2023,,,Asia
Kenya,KEN,2018,729.4,1380.1,
Kenya,KEN,2019,782.83923,1454.8331,
Kenya,KEN,2020,826.9117,1487.7286,
Kenya,KEN,2021,885.3816,1578.82,
Kenya,KEN,2022,912.74036,1611.1259,
Kenya,KEN,2023,,,Africa
Kingdom of Bavaria,,2023,,,Europe
Kingdom of Sardinia,,2023,,,Europe
Kingdom of Saxony,,2023,,,Europe
Kingdom of Wurttemberg,,2023,,,Europe
Kingdom of the Two Sicilies,,2023,,,Europe
Kiribati,KIR,2023,,,Oceania
Korea (former),OWID_KRU,2023,,,Asia
Kosovo,OWID_KOS,2023,,,Europe
Kuwait,KWT,2018,1910.5,9941.8,
